timestamp,quantile,mIoU,total_time,time_per_image,Background,Building,Road,Water,Barren,Forest,Agriculture
2026-04-24 00:11:45,0.9,0.4892,66.48,0.0398,0.5182,0.5176,0.4917,0.6647,0.3149,0.3820,0.5354
2026-04-24 00:11:45,0.8,0.4905,73.63,0.0441,0.5192,0.5185,0.4920,0.6663,0.3154,0.3821,0.5397
2026-04-24 00:11:45,0.7,0.4940,79.01,0.0473,0.5212,0.5254,0.4935,0.6687,0.3169,0.3832,0.5489
